F:M,,,,
1.3,,,,
0.4,,,,
1.03,,,,
1.39,,,,
0.9,,,,
1.5,,,,
1.1,,,,
2,,,,
0.9,,,,
0.9,,,,
1.4,,,,
1.5,,,,
1.36,,,,
1.15,,,,
0.9,,,,
1.06,,,,
1.2,,,,
0.9,,,,
